PiezoResult

Table 1
Table No [#]	Vc+ [V]	Vc- [V]	Pr+ [uC/cm2]	Pr- [uC/cm2]	Prrel- [uC/cm2]	Psw [uC/cm2]	Wloss [uJ/cm2]	Dpp [nm]	Dpp1 [nm]	Dpp2 [nm]	Dpp3 [nm]	Dpp4 [nm]	VcShift [V]	Rav [Ohm]	Cls [F]	Epsls [1]	d33ls [nm/V]	d33ls+ [nm/V]	d33ls- [nm/V]	Measurement Status []	Vmax+ [V]	Vmax- [V]	Pvmax+ [uC/cm2]	Pvmax- [uC/cm2]	Dvmax+ [nm/V]	Dvmax- [nm/V]	Ipk+ [A]	Ipk- [A]	Hysteresis Frequency [Hz]	Hysteresis Amplitude [V]	Current Range []	Averages []	Delay [s]	
1.000000e+000	1.119650e+003	-1.081820e+003	1.354390e+001	-1.795860e+001	-1.997850e+001	3.642280e+001	7.042500e+004	1.646410e+003	1.548990e+003	1.646410e+003	1.108390e+003	1.010960e+003	1.891640e+001	1.548180e+008	5.122390e-009	7.713700e+003	2.104970e-001	5.639180e-001	-2.827490e-001	0.000000e+000	1.466770e+003	-1.321980e+003	1.644430e+001	-1.644430e+001	9.746320e+002	2.541660e+002	2.526320e-005	-2.916170e-005	1.000000e-001	1.400000e+003	6.000000e+000	1.000000e+000	1.000000e+000	
2.000000e+000	1.073620e+003	-1.101930e+003	2.049690e+001	-2.278360e+001	-2.229420e+001	4.644830e+001	9.195310e+004	1.870290e+003	1.819410e+003	1.870290e+003	1.621770e+003	1.570880e+003	-1.415790e+001	1.185780e+009	7.451720e-009	1.122140e+004	1.527670e-001	5.748350e-001	-5.680180e-001	0.000000e+000	1.466730e+003	-1.321830e+003	2.415410e+001	-2.415410e+001	1.000730e+003	7.323470e+002	4.481330e-006	-4.128050e-006	1.000000e-002	1.400000e+003	7.000000e+000	1.000000e+000	1.000000e+000	
3.000000e+000	4.849340e+002	-2.756670e+002	8.258800e-001	-9.632660e-001	-1.111700e+000	3.231040e+000	2.415550e+003	6.276880e+002	6.276880e+002	1.971580e+002	0.000000e+000	0.000000e+000	1.046340e+002	1.473390e+008	1.495470e-009	2.252000e+003	-3.740420e-001	-2.641070e-001	-2.511560e-001	0.000000e+000	8.694790e+002	-7.242380e+002	2.119340e+000	-2.119340e+000	-4.477120e+002	1.788140e+002	1.521830e-005	-1.164220e-005	1.000000e+000	8.000000e+002	6.000000e+000	1.000000e+000	1.000000e+000	
4.000000e+000	7.034290e+002	-4.867780e+002	2.053830e+000	-2.076420e+000	-2.457050e+000	5.940280e+000	6.718640e+003	7.344560e+002	7.344560e+002	2.900760e+002	0.000000e+000	0.000000e+000	1.083260e+002	8.278220e+007	1.864130e-009	2.807150e+003	-3.449940e-001	-1.958670e-001	-2.903130e-001	0.000000e+000	1.068610e+003	-9.238730e+002	3.483230e+000	-3.483230e+000	-5.185170e+002	2.109610e+002	3.364090e-005	-2.364600e-005	1.000000e+000	1.000000e+003	6.000000e+000	1.000000e+000	1.000000e+000	
5.000000e+000	9.379000e+002	-7.490030e+002	5.054060e+000	-4.654820e+000	-5.207830e+000	1.130390e+001	1.850610e+004	9.159330e+002	9.159330e+002	3.357860e+002	0.000000e+000	0.000000e+000	9.444870e+001	4.328530e+007	2.528870e-009	3.808170e+003	-3.566420e-001	-1.023880e-001	-2.765780e-001	0.000000e+000	1.268090e+003	-1.123200e+003	6.096080e+000	-6.096080e+000	-5.026080e+002	3.802340e+002	7.450270e-005	-5.404120e-005	1.000000e+000	1.200000e+003	6.000000e+000	1.000000e+000	1.000000e+000	
6.000000e+000	1.131470e+003	-1.010170e+003	9.696390e+000	-1.103620e+001	-1.178490e+001	2.298800e+001	4.602940e+004	1.044580e+003	9.122950e+002	1.044580e+003	6.081570e+002	4.758700e+002	6.064830e+001	2.368930e+007	3.655220e-009	5.504320e+003	1.465910e-001	2.759540e-001	-1.377240e-001	0.000000e+000	1.467320e+003	-1.322530e+003	1.120310e+001	-1.120310e+001	5.770160e+002	9.490610e+001	1.142610e-004	-1.530820e-004	1.000000e+000	1.400000e+003	5.000000e+000	1.000000e+000	1.000000e+000	
7.000000e+000	5.456420e+002	-3.333060e+002	1.017070e+000	-1.219040e+000	-1.246170e+000	3.368230e+000	2.921580e+003	2.154250e+002	1.986070e+002	4.829730e+001	2.673500e+001	1.770450e+002	1.061680e+002	1.218590e+008	1.457530e-009	2.194860e+003	-7.559180e-002	4.480630e-002	-2.949070e-002	2.000000e+000	8.691680e+002	-7.247280e+002	2.122060e+000	-2.122060e+000	-1.859300e+002	-4.037940e+001	1.932990e-005	-1.402610e-005	1.000000e+000	8.000000e+002	5.000000e+000	1.000000e+000	1.000000e+000	
8.000000e+000	5.121240e+002	-3.300740e+002	9.600430e-001	-1.037860e+000	-1.131330e+000	3.178260e+000	2.630020e+003	1.254790e+002	1.145660e+002	4.164080e+001	6.991590e+000	7.991640e+001	9.102530e+001	1.353280e+008	1.414200e-009	2.129610e+003	-1.146110e-002	5.861860e-002	-4.668890e-002	0.000000e+000	8.693580e+002	-7.242950e+002	2.046930e+000	-2.046930e+000	-7.196360e+001	-1.578230e+001	1.570800e-005	-1.323590e-005	1.000000e+000	8.000000e+002	6.000000e+000	1.000000e+000	1.000000e+000	
9.000000e+000	4.916540e+002	-3.224860e+002	9.297840e-001	-1.034670e+000	-1.036270e+000	3.080930e+000	2.524180e+003	1.504730e+002	1.504730e+002	7.568320e+001	0.000000e+000	0.000000e+000	8.458390e+001	1.410050e+008	1.427490e-009	2.149630e+003	-8.809890e-002	-5.394590e-002	-9.426800e-002	0.000000e+000	8.694310e+002	-7.243230e+002	2.044660e+000	-2.044660e+000	-7.898180e+001	6.479430e+001	1.403770e-005	-1.300350e-005	1.000000e+000	8.000000e+002	6.000000e+000	1.000000e+000	1.000000e+000	
1.000000e+001	4.812080e+002	-3.175690e+002	9.101110e-001	-1.029380e+000	-9.908910e-001	3.030880e+000	2.465400e+003	2.078370e+002	2.078370e+002	7.946470e+001	0.000000e+000	0.000000e+000	8.181970e+001	1.443750e+008	1.431320e-009	2.155390e+003	-1.296670e-001	-1.200990e-001	-9.475240e-002	0.000000e+000	8.692400e+002	-7.244450e+002	2.039980e+000	-2.039980e+000	-8.153780e+001	1.256320e+002	1.360290e-005	-1.271830e-005	1.000000e+000	8.000000e+002	6.000000e+000	1.000000e+000	1.000000e+000	

Piezo
Program: aixPlorer Software version 3.0.44.0
TimeStamp: 08/23/2019 13:57:50
TfaModule: PZM
ProgramMode: 0
TfaFileType: data
BasicUnit: BU624-1
TfaVersion: 4.11.0

Table 1
Timestamp: 08/23/2019 14:17:12
Number Of Ceramic Layers: 1
TableVersion: 4.11.0
RDev [1]: 1.96428
DOffset [nm]: 107.263
DBLIDevpp [1]: 0
DBLIDev [1]: 2.13007
Monitoring: YES
Averages: 1
SingleLoop: YES
Settings: OM PSW SL HV MON LF
Waveform: triangle
SampleName: TEST_0.1Hz
Area [mm2]: 60
Thickness [nm]: 800000
Current Range: 6 (100uA)
Hysteresis Frequency [Hz]: 0.1
Hysteresis Amplitude [V]: 1400
Delay [s]: 1
DisplacementChannelFactor [nm/V]: -15480
Dpp [nm]: 1646.41
d33ls [nm/V]: 0.210497
d33ls+ [nm/V]: 0.563918
d33ls- [nm/V]: -0.282749
Dpp1 [nm]: 1548.99
Dpp2 [nm]: 1646.41
Dpp3 [nm]: 1108.39
Dpp4 [nm]: 1010.96
Cls [F]: 5.12239e-009
Epsls [1]: 7713.7
Vc+ [V]: 1119.65
Vc- [V]: -1081.82
Pr+ [uC/cm2]: 13.5439
Pr- [uC/cm2]: -17.9586
Prrel- [uC/cm2]: -19.9785
Vmax+ [V]: 1466.77
Vmax- [V]: -1321.98
Pvmax+ [uC/cm2]: 16.4443
Pvmax- [uC/cm2]: -16.4443
Dvmax+ [nm/V]: 974.632
Dvmax- [nm/V]: 254.166
Ipk+ [A]: 2.52632e-005
Ipk- [A]: -2.91617e-005
Psw [uC/cm2]: 36.4228
Wloss [uJ/cm2]: 70425
VcShift [V]: 18.9164
Rav [Ohm]: 1.54818e+008
Basic System: TFAnalyzer 2000 E
Measure Head: FE 568-2
MeasureHal Profile: default
Program Version: 3.0.44.0
Operator: Unknown
HV Amplifier: TREK 610E 10kV
Interferometer: SIOS
Measurement Topology: electrical 3, strain 3
Measurement Status: 0
Time [s]	V+ [V]	V- [V]	I1 [A]	P1 [uC/cm2]	I2 [A]	P2 [uC/cm2]	I3 [A]	P3 [uC/cm2]	D1 [nm]	D2 [nm]	D3 [nm]	CH3 [V]	
0.000000e+000	7.904505e+001	0.000000e+000	3.072201e-007	-1.997847e+001	3.072201e-007	-1.997847e+001	0.000000e+000	-1.644428e+001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	
2.500000e-002	9.314373e+001	0.000000e+000	5.212998e-007	-1.996121e+001	5.212998e-007	-1.996121e+001	0.000000e+000	-1.644428e+001	-1.178029e+001	-1.178029e+001	0.000000e+000	0.000000e+000	
5.000000e-002	1.070722e+002	0.000000e+000	6.496493e-007	-1.993682e+001	6.496493e-007	-1.993682e+001	0.000000e+000	-1.644428e+001	-2.488647e+001	-2.488647e+001	0.000000e+000	0.000000e+000	
7.500000e-002	1.211346e+002	0.000000e+000	7.774214e-007	-1.990709e+001	7.774214e-007	-1.990709e+001	0.000000e+000	-1.644428e+001	-3.383376e+001	-3.383376e+001	0.000000e+000	0.000000e+000	
1.000000e-001	1.350795e+002	0.000000e+000	9.114493e-007	-1.987190e+001	9.114493e-007	-1.987190e+001	0.000000e+000	-1.644428e+001	-4.331017e+001	-4.331017e+001	0.000000e+000	0.000000e+000	
1.250000e-001	1.490759e+002	0.000000e+000	1.059350e-006	-1.983084e+001	1.059350e-006	-1.983084e+001	0.000000e+000	-1.644428e+001	-5.034005e+001	-5.034005e+001	0.000000e+000	0.000000e+000	
1.500000e-001	1.631197e+002	0.000000e+000	1.210434e-006	-1.978356e+001	1.210434e-006	-1.978356e+001	0.000000e+000	-1.644428e+001	-6.062557e+001	-6.062557e+001	0.000000e+000	0.000000e+000	
1.750000e-001	1.771214e+002	0.000000e+000	1.354229e-006	-1.973013e+001	1.354229e-006	-1.973013e+001	0.000000e+000	-1.644428e+001	-7.360775e+001	-7.360775e+001	0.000000e+000	0.000000e+000	
2.000000e-001	1.911142e+002	0.000000e+000	1.487285e-006	-1.967093e+001	1.487285e-006	-1.967093e+001	0.000000e+000	-1.644428e+001	-7.972334e+001	-7.972334e+001	0.000000e+000	0.000000e+000	
2.250000e-001	2.051472e+002	0.000000e+000	1.613478e-006	-1.960633e+001	1.613478e-006	-1.960633e+001	0.000000e+000	-1.644428e+001	-8.099783e+001	-8.099783e+001	0.000000e+000	0.000000e+000	
2.500000e-001	2.192252e+002	0.000000e+000	1.735302e-006	-1.953656e+001	1.735302e-006	-1.953656e+001	0.000000e+000	-1.644428e+001	-9.073083e+001	-9.073083e+001	0.000000e+000	0.000000e+000	
2.750000e-001	2.332352e+002	0.000000e+000	1.844383e-006	-1.946199e+001	1.844383e-006	-1.946199e+001	0.000000e+000	-1.644428e+001	-1.095259e+002	-1.095259e+002	0.000000e+000	0.000000e+000	
3.000000e-001	2.471893e+002	0.000000e+000	1.937105e-006	-1.938321e+001	1.937105e-006	-1.938321e+001	0.000000e+000	-1.644428e+001	-1.240483e+002	-1.240483e+002	0.000000e+000	0.000000e+000	
3.250000e-001	2.611984e+002	0.000000e+000	2.027553e-006	-1.930061e+001	2.027553e-006	-1.930061e+001	0.000000e+000	-1.644428e+001	-1.269255e+002	-1.269255e+002	0.000000e+000	0.000000e+000	
3.500000e-001	2.752146e+002	0.000000e+000	2.116230e-006	-1.921428e+001	2.116230e-006	-1.921428e+001	0.000000e+000	-1.644428e+001	-1.202456e+002	-1.202456e+002	0.000000e+000	0.000000e+000	
3.750000e-001	2.892476e+002	0.000000e+000	2.199245e-006	-1.912437e+001	2.199245e-006	-1.912437e+001	0.000000e+000	-1.644428e+001	-1.184793e+002	-1.184793e+002	0.000000e+000	0.000000e+000	
4.000000e-001	3.032603e+002	0.000000e+000	2.274323e-006	-1.903117e+001	2.274323e-006	-1.903117e+001	0.000000e+000	-1.644428e+001	-1.263341e+002	-1.263341e+002	0.000000e+000	0.000000e+000	
4.250000e-001	3.172067e+002	0.000000e+000	2.349132e-006	-1.893485e+001	2.349132e-006	-1.893485e+001	0.000000e+000	-1.644428e+001	-1.347471e+002	-1.347471e+002	0.000000e+000	0.000000e+000	
4.500000e-001	3.312179e+002	0.000000e+000	2.433851e-006	-1.883521e+001	2.433851e-006	-1.883521e+001	0.000000e+000	-1.644428e+001	-1.421290e+002	-1.421290e+002	0.000000e+000	0.000000e+000	
4.750000e-001	3.452632e+002	0.000000e+000	2.515011e-006	-1.873211e+001	2.515011e-006	-1.873211e+001	0.000000e+000	-1.644428e+001	-1.479508e+002	-1.479508e+002	0.000000e+000	0.000000e+000	
5.000000e-001	3.591714e+002	0.000000e+000	2.585972e-006	-1.862584e+001	2.585972e-006	-1.862584e+001	0.000000e+000	-1.644428e+001	-1.530394e+002	-1.530394e+002	0.000000e+000	0.000000e+000	
5.250000e-001	3.732696e+002	0.000000e+000	2.661801e-006	-1.851651e+001	2.661801e-006	-1.851651e+001	0.000000e+000	-1.644428e+001	-1.491956e+002	-1.491956e+002	0.000000e+000	0.000000e+000	
5.500000e-001	3.872541e+002	0.000000e+000	2.736919e-006	-1.840403e+001	2.736919e-006	-1.840403e+001	0.000000e+000	-1.644428e+001	-1.538449e+002	-1.538449e+002	0.000000e+000	0.000000e+000	
5.750000e-001	4.013224e+002	0.000000e+000	2.815677e-006	-1.828835e+001	2.815677e-006	-1.828835e+001	0.000000e+000	-1.644428e+001	-1.753129e+002	-1.753129e+002	0.000000e+000	0.000000e+000	
6.000000e-001	4.152578e+002	0.000000e+000	2.894108e-006	-1.816940e+001	2.894108e-006	-1.816940e+001	0.000000e+000	-1.644428e+001	-1.908051e+002	-1.908051e+002	0.000000e+000	0.000000e+000	
6.250000e-001	4.292856e+002	0.000000e+000	2.978212e-006	-1.804706e+001	2.978212e-006	-1.804706e+001	0.000000e+000	-1.644428e+001	-2.059027e+002	-2.059027e+002	0.000000e+000	0.000000e+000	
6.500000e-001	4.433248e+002	0.000000e+000	3.071583e-006	-1.792102e+001	3.071583e-006	-1.792102e+001	0.000000e+000	-1.644428e+001	-2.176417e+002	-2.176417e+002	0.000000e+000	0.000000e+000	
6.750000e-001	4.573173e+002	0.000000e+000	3.162601e-006	-1.779114e+001	3.162601e-006	-1.779114e+001	0.000000e+000	-1.644428e+001	-2.282960e+002	-2.282960e+002	0.000000e+000	0.000000e+000	
7.000000e-001	4.712680e+002	0.000000e+000	3.250230e-006	-1.765754e+001	3.250230e-006	-1.765754e+001	0.000000e+000	-1.644428e+001	-2.455744e+002	-2.455744e+002	0.000000e+000	0.000000e+000	
7.250000e-001	4.853578e+002	0.000000e+000	3.349724e-006	-1.752004e+001	3.349724e-006	-1.752004e+001	0.000000e+000	-1.644428e+001	-2.606153e+002	-2.606153e+002	0.000000e+000	0.000000e+000	
7.500000e-001	4.993550e+002	0.000000e+000	3.454086e-006	-1.737830e+001	3.454086e-006	-1.737830e+001	0.000000e+000	-1.644428e+001	-2.755137e+002	-2.755137e+002	0.000000e+000	0.000000e+000	
7.750000e-001	5.134955e+002	0.000000e+000	3.558487e-006	-1.723220e+001	3.558487e-006	-1.723220e+001	0.000000e+000	-1.644428e+001	-2.877267e+002	-2.877267e+002	0.000000e+000	0.000000e+000	
8.000000e-001	5.274320e+002	0.000000e+000	3.661128e-006	-1.708179e+001	3.661128e-006	-1.708179e+001	0.000000e+000	-1.644428e+001	-2.992336e+002	-2.992336e+002	0.000000e+000	0.000000e+000	
8.250000e-001	5.414192e+002	0.000000e+000	3.772668e-006	-1.692692e+001	3.772668e-006	-1.692692e+001	0.000000e+000	-1.644428e+001	-3.132793e+002	-3.132793e+002	0.000000e+000	0.000000e+000	
8.500000e-001	5.554263e+002	0.000000e+000	3.898084e-006	-1.676712e+001	3.898084e-006	-1.676712e+001	0.000000e+000	-1.644428e+001	-3.270784e+002	-3.270784e+002	0.000000e+000	0.000000e+000	
8.750000e-001	5.695333e+002	0.000000e+000	4.022145e-006	-1.660211e+001	4.022145e-006	-1.660211e+001	0.000000e+000	-1.644428e+001	-3.358614e+002	-3.358614e+002	0.000000e+000	0.000000e+000	
9.000000e-001	5.833871e+002	0.000000e+000	4.161958e-006	-1.643161e+001	4.161958e-006	-1.643161e+001	0.000000e+000	-1.644428e+001	-3.432813e+002	-3.432813e+002	0.000000e+000	0.000000e+000	
9.250000e-001	5.974242e+002	0.000000e+000	4.292539e-006	-1.625547e+001	4.292539e-006	-1.625547e+001	0.000000e+000	-1.644428e+001	-3.504831e+002	-3.504831e+002	0.000000e+000	0.000000e+000	
9.500000e-001	6.115277e+002	0.000000e+000	4.426412e-006	-1.607383e+001	4.426412e-006	-1.607383e+001	0.000000e+000	-1.644428e+001	-3.629493e+002	-3.629493e+002	0.000000e+000	0.000000e+000	
9.750000e-001	6.255586e+002	0.000000e+000	4.571264e-006	-1.588638e+001	4.571264e-006	-1.588638e+001	0.000000e+000	-1.644428e+001	-3.742650e+002	-3.742650e+002	0.000000e+000	0.000000e+000	
1.000000e+000	6.395440e+002	0.000000e+000	4.720325e-006	-1.569280e+001	4.720325e-006	-1.569280e+001	0.000000e+000	-1.644428e+001	-3.823834e+002	-3.823834e+002	0.000000e+000	0.000000e+000	
1.025000e+000	6.535029e+002	0.000000e+000	4.877368e-006	-1.549285e+001	4.877368e-006	-1.549285e+001	0.000000e+000	-1.644428e+001	-3.955130e+002	-3.955130e+002	0.000000e+000	0.000000e+000	
1.050000e+000	6.675257e+002	0.000000e+000	5.058785e-006	-1.528585e+001	5.058785e-006	-1.528585e+001	0.000000e+000	-1.644428e+001	-4.032860e+002	-4.032860e+002	0.000000e+000	0.000000e+000	
1.075000e+000	6.814901e+002	0.000000e+000	5.238787e-006	-1.507131e+001	5.238787e-006	-1.507131e+001	0.000000e+000	-1.644428e+001	-4.171169e+002	-4.171169e+002	0.000000e+000	0.000000e+000	
1.100000e+000	6.955360e+002	0.000000e+000	5.423520e-006	-1.484918e+001	5.423520e-006	-1.484918e+001	0.000000e+000	-1.644428e+001	-4.273068e+002	-4.273068e+002	0.000000e+000	0.000000e+000	
1.125000e+000	7.095646e+002	0.000000e+000	5.623982e-006	-1.461903e+001	5.623982e-006	-1.461903e+001	0.000000e+000	-1.644428e+001	-4.349580e+002	-4.349580e+002	0.000000e+000	0.000000e+000	
1.150000e+000	7.236189e+002	0.000000e+000	5.842868e-006	-1.438013e+001	5.842868e-006	-1.438013e+001	0.000000e+000	-1.644428e+001	-4.417616e+002	-4.417616e+002	0.000000e+000	0.000000e+000	
1.175000e+000	7.375886e+002	0.000000e+000	6.072776e-006	-1.413189e+001	6.072776e-006	-1.413189e+001	0.000000e+000	-1.644428e+001	-4.443860e+002	-4.443860e+002	0.000000e+000	0.000000e+000	
1.200000e+000	7.515713e+002	0.000000e+000	6.307772e-006	-1.387396e+001	6.307772e-006	-1.387396e+001	0.000000e+000	-1.644428e+001	-4.560688e+002	-4.560688e+002	0.000000e+000	0.000000e+000	
1.225000e+000	7.654917e+002	0.000000e+000	6.550390e-006	-1.360609e+001	6.550390e-006	-1.360609e+001	0.000000e+000	-1.644428e+001	-4.651283e+002	-4.651283e+002	0.000000e+000	0.000000e+000	
1.250000e+000	7.796075e+002	0.000000e+000	6.827134e-006	-1.332739e+001	6.827134e-006	-1.332739e+001	0.000000e+000	-1.644428e+001	-4.761735e+002	-4.761735e+002	0.000000e+000	0.000000e+000	
1.275000e+000	7.936120e+002	0.000000e+000	7.111296e-006	-1.303700e+001	7.111296e-006	-1.303700e+001	0.000000e+000	-1.644428e+001	-4.905184e+002	-4.905184e+002	0.000000e+000	0.000000e+000	
1.300000e+000	8.076157e+002	0.000000e+000	7.411225e-006	-1.273445e+001	7.411225e-006	-1.273445e+001	0.000000e+000	-1.644428e+001	-4.959035e+002	-4.959035e+002	0.000000e+000	0.000000e+000	
1.325000e+000	8.216852e+002	0.000000e+000	7.734198e-006	-1.241892e+001	7.734198e-006	-1.241892e+001	0.000000e+000	-1.644428e+001	-4.953851e+002	-4.953851e+002	0.000000e+000	0.000000e+000	
1.350000e+000	8.357346e+002	0.000000e+000	8.088072e-006	-1.208929e+001	8.088072e-006	-1.208929e+001	0.000000e+000	-1.644428e+001	-5.013071e+002	-5.013071e+002	0.000000e+000	0.000000e+000	
1.375000e+000	8.497267e+002	0.000000e+000	8.465157e-006	-1.174443e+001	8.465157e-006	-1.174443e+001	0.000000e+000	-1.644428e+001	-5.090804e+002	-5.090804e+002	0.000000e+000	0.000000e+000	
1.400000e+000	8.636276e+002	0.000000e+000	8.855914e-006	-1.138358e+001	8.855914e-006	-1.138358e+001	0.000000e+000	-1.644428e+001	-5.154670e+002	-5.154670e+002	0.000000e+000	0.000000e+000	
1.425000e+000	8.776636e+002	0.000000e+000	9.279274e-006	-1.100576e+001	9.279274e-006	-1.100576e+001	0.000000e+000	-1.644428e+001	-5.201292e+002	-5.201292e+002	0.000000e+000	0.000000e+000	
1.450000e+000	8.917430e+002	0.000000e+000	9.749329e-006	-1.060933e+001	9.749329e-006	-1.060933e+001	0.000000e+000	-1.644428e+001	-5.238781e+002	-5.238781e+002	0.000000e+000	0.000000e+000	
1.475000e+000	9.058051e+002	0.000000e+000	1.024676e-005	-1.019274e+001	1.024676e-005	-1.019274e+001	0.000000e+000	-1.644428e+001	-5.313649e+002	-5.313649e+002	0.000000e+000	0.000000e+000	
1.500000e+000	9.197616e+002	0.000000e+000	1.076705e-005	-9.754957e+000	1.076705e-005	-9.754957e+000	0.000000e+000	-1.644428e+001	-5.374846e+002	-5.374846e+002	0.000000e+000	0.000000e+000	
1.525000e+000	9.337929e+002	0.000000e+000	1.134480e-005	-9.294294e+000	1.134480e-005	-9.294294e+000	0.000000e+000	-1.644428e+001	-5.426622e+002	-5.426622e+002	0.000000e+000	0.000000e+000	
1.550000e+000	9.478317e+002	0.000000e+000	1.198044e-005	-8.808351e+000	1.198044e-005	-8.808351e+000	0.000000e+000	-1.644428e+001	-5.432474e+002	-5.432474e+002	0.000000e+000	0.000000e+000	
1.575000e+000	9.618694e+002	0.000000e+000	1.265387e-005	-8.295136e+000	1.265387e-005	-8.295136e+000	0.000000e+000	-1.644428e+001	-5.495807e+002	-5.495807e+002	0.000000e+000	0.000000e+000	
1.600000e+000	9.757740e+002	0.000000e+000	1.336391e-005	-7.753099e+000	1.336391e-005	-7.753099e+000	0.000000e+000	-1.644428e+001	-5.546533e+002	-5.546533e+002	0.000000e+000	0.000000e+000	
1.625000e+000	9.897885e+002	0.000000e+000	1.412764e-005	-7.180359e+000	1.412764e-005	-7.180359e+000	0.000000e+000	-1.644428e+001	-5.564605e+002	-5.564605e+002	0.000000e+000	0.000000e+000	
1.650000e+000	1.003889e+003	0.000000e+000	1.497636e-005	-6.574025e+000	1.497636e-005	-6.574025e+000	0.000000e+000	-1.644428e+001	-5.581368e+002	-5.581368e+002	0.000000e+000	0.000000e+000	
1.675000e+000	1.017793e+003	0.000000e+000	1.586641e-005	-5.931467e+000	1.586641e-005	-5.931467e+000	0.000000e+000	-1.644428e+001	-5.573437e+002	-5.573437e+002	0.000000e+000	0.000000e+000	
1.700000e+000	1.031795e+003	0.000000e+000	1.680761e-005	-5.250759e+000	1.680761e-005	-5.250759e+000	0.000000e+000	-1.644428e+001	-5.571533e+002	-5.571533e+002	0.000000e+000	0.000000e+000	
1.725000e+000	1.045826e+003	0.000000e+000	1.780651e-005	-4.529631e+000	1.780651e-005	-4.529631e+000	0.000000e+000	-1.644428e+001	-5.553239e+002	-5.553239e+002	0.000000e+000	0.000000e+000	
1.750000e+000	1.059842e+003	0.000000e+000	1.886063e-005	-3.765733e+000	1.886063e-005	-3.765733e+000	0.000000e+000	-1.644428e+001	-5.376654e+002	-5.376654e+002	0.000000e+000	0.000000e+000	
1.775000e+000	1.073948e+003	0.000000e+000	1.995456e-005	-2.957083e+000	1.995456e-005	-2.957083e+000	0.000000e+000	-1.644428e+001	-5.080757e+002	-5.080757e+002	0.000000e+000	0.000000e+000	
1.800000e+000	1.087827e+003	0.000000e+000	2.103622e-005	-2.103108e+000	2.103622e-005	-2.103108e+000	0.000000e+000	-1.644428e+001	-4.776952e+002	-4.776952e+002	0.000000e+000	0.000000e+000	
1.825000e+000	1.101887e+003	0.000000e+000	2.211232e-005	-1.204180e+000	2.211232e-005	-1.204180e+000	0.000000e+000	-1.644428e+001	-4.468772e+002	-4.468772e+002	0.000000e+000	0.000000e+000	
1.850000e+000	1.115880e+003	0.000000e+000	2.312337e-005	-2.617702e-001	2.312337e-005	-2.617702e-001	0.000000e+000	-1.644428e+001	-4.081348e+002	-4.081348e+002	0.000000e+000	0.000000e+000	
1.875000e+000	1.130025e+003	0.000000e+000	2.399833e-005	7.199319e-001	2.399833e-005	7.199319e-001	0.000000e+000	-1.644428e+001	-3.600237e+002	-3.600237e+002	0.000000e+000	0.000000e+000	
1.900000e+000	1.143915e+003	0.000000e+000	2.467653e-005	1.733991e+000	2.467653e-005	1.733991e+000	0.000000e+000	-1.644428e+001	-3.064769e+002	-3.064769e+002	0.000000e+000	0.000000e+000	
1.925000e+000	1.157893e+003	0.000000e+000	2.510768e-005	2.771162e+000	2.510768e-005	2.771162e+000	0.000000e+000	-1.644428e+001	-2.435859e+002	-2.435859e+002	0.000000e+000	0.000000e+000	
1.950000e+000	1.171961e+003	0.000000e+000	2.526321e-005	3.820556e+000	2.526321e-005	3.820556e+000	0.000000e+000	-1.644428e+001	-1.619575e+002	-1.619575e+002	0.000000e+000	0.000000e+000	
1.975000e+000	1.186058e+003	0.000000e+000	2.508896e-005	4.869559e+000	2.508896e-005	4.869559e+000	0.000000e+000	-1.644428e+001	-7.796684e+001	-7.796684e+001	0.000000e+000	0.000000e+000	
2.000000e+000	1.199963e+003	0.000000e+000	2.450802e-005	5.902830e+000	2.450802e-005	5.902830e+000	0.000000e+000	-1.644428e+001	4.579082e+000	4.579082e+000	0.000000e+000	0.000000e+000	
2.025000e+000	1.213958e+003	0.000000e+000	2.359353e-005	6.904946e+000	2.359353e-005	6.904946e+000	0.000000e+000	-1.644428e+001	7.541837e+001	7.541837e+001	0.000000e+000	0.000000e+000	
2.050000e+000	1.228076e+003	0.000000e+000	2.240234e-005	7.863193e+000	2.240234e-005	7.863193e+000	0.000000e+000	-1.644428e+001	1.480682e+002	1.480682e+002	0.000000e+000	0.000000e+000	
2.075000e+000	1.242031e+003	0.000000e+000	2.099170e-005	8.767235e+000	2.099170e-005	8.767235e+000	0.000000e+000	-1.644428e+001	2.343673e+002	2.343673e+002	0.000000e+000	0.000000e+000	
2.100000e+000	1.255997e+003	0.000000e+000	1.939158e-005	9.608554e+000	1.939158e-005	9.608554e+000	0.000000e+000	-1.644428e+001	3.161485e+002	3.161485e+002	0.000000e+000	0.000000e+000	
2.125000e+000	1.269999e+003	0.000000e+000	1.774343e-005	1.038220e+001	1.774343e-005	1.038220e+001	0.000000e+000	-1.644428e+001	3.909128e+002	3.909128e+002	0.000000e+000	0.000000e+000	
2.150000e+000	1.284133e+003	0.000000e+000	1.613695e-005	1.108804e+001	1.613695e-005	1.108804e+001	0.000000e+000	-1.644428e+001	4.645133e+002	4.645133e+002	0.000000e+000	0.000000e+000	
2.175000e+000	1.298098e+003	0.000000e+000	1.462653e-005	1.172895e+001	1.462653e-005	1.172895e+001	0.000000e+000	-1.644428e+001	5.343765e+002	5.343765e+002	0.000000e+000	0.000000e+000	
